EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,MAGNITUDE_TYPE,SOURCE,TOR_LENGTH,TOR_WIDTH,BEGIN_DIRECTION,END_DIRECTION,END_LOCATION,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,Zip
558838,OLDHAM CO.,PEWEE VLY,2015-04-02,1400,Thunderstorm Wind,52, ,EG,Broadcast Media, , ,SW,SW,PEWEE VLY,1425,38.31,-85.49,38.31,-85.49,Broadcast media reported a large porch roof blown across a homeowner's property with large tree limbs downed as well.,"A stalled frontal boundary across the area brought several rounds of showers and thunderstorms to the lower Ohio Valley April 2nd and 3rd. Scattered thunderstorms developed during the afternoon and early evening hours April 2nd, resulting in large hail and damaging winds. Later that evening and into the early morning hours of April 3rd, training thunderstorms resulted in flash flooding across portions of northern Kentucky, greatly impacting the I-64 corridor including the Louisville and Lexington metros. Between 6 and 8 inches of rain fell in the 2 day period and April 3rd ended up being Louisville's 4th wettest day on record. The event garnered national media attention as over 160 water rescues occurred in Louisville alone and several roads were washed out across northern Kentucky. Additional showers and thunderstorms then developed during the afternoon of April 3rd with isolated severe wind damage.",40056
558833,JEFFERSON CO.,LOUISVILLE,2015-04-02,1435,Hail,1.75, , ,Trained Spotter, , ,ENE,ENE,LOUISVILLE,1455,38.25,-85.74,38.25,-85.74,Golf ball size hail was reported by a trained spotter.,"A stalled frontal boundary across the area brought several rounds of showers and thunderstorms to the lower Ohio Valley April 2nd and 3rd. Scattered thunderstorms developed during the afternoon and early evening hours April 2nd, resulting in large hail and damaging winds. Later that evening and into the early morning hours of April 3rd, training thunderstorms resulted in flash flooding across portions of northern Kentucky, greatly impacting the I-64 corridor including the Louisville and Lexington metros. Between 6 and 8 inches of rain fell in the 2 day period and April 3rd ended up being Louisville's 4th wettest day on record. The event garnered national media attention as over 160 water rescues occurred in Louisville alone and several roads were washed out across northern Kentucky. Additional showers and thunderstorms then developed during the afternoon of April 3rd with isolated severe wind damage.",40202
558834,JEFFERSON CO.,INDIAN HILLS,2015-04-02,1440,Hail,1.25, , ,Public, , ,WSW,WSW,INDIAN HILLS,1455,38.27,-85.7,38.27,-85.7,Half dollar size hail was reported by the public.,"A stalled frontal boundary across the area brought several rounds of showers and thunderstorms to the lower Ohio Valley April 2nd and 3rd. Scattered thunderstorms developed during the afternoon and early evening hours April 2nd, resulting in large hail and damaging winds. Later that evening and into the early morning hours of April 3rd, training thunderstorms resulted in flash flooding across portions of northern Kentucky, greatly impacting the I-64 corridor including the Louisville and Lexington metros. Between 6 and 8 inches of rain fell in the 2 day period and April 3rd ended up being Louisville's 4th wettest day on record. The event garnered national media attention as over 160 water rescues occurred in Louisville alone and several roads were washed out across northern Kentucky. Additional showers and thunderstorms then developed during the afternoon of April 3rd with isolated severe wind damage.",40206
558836,JEFFERSON CO.,INDIAN HILLS,2015-04-02,1445,Hail,0.88, , ,Public, , ,NE,NE,INDIAN HILLS,1455,38.29,-85.64,38.29,-85.64,The public reported nickel size hail.,"A stalled frontal boundary across the area brought several rounds of showers and thunderstorms to the lower Ohio Valley April 2nd and 3rd. Scattered thunderstorms developed during the afternoon and early evening hours April 2nd, resulting in large hail and damaging winds. Later that evening and into the early morning hours of April 3rd, training thunderstorms resulted in flash flooding across portions of northern Kentucky, greatly impacting the I-64 corridor including the Louisville and Lexington metros. Between 6 and 8 inches of rain fell in the 2 day period and April 3rd ended up being Louisville's 4th wettest day on record. The event garnered national media attention as over 160 water rescues occurred in Louisville alone and several roads were washed out across northern Kentucky. Additional showers and thunderstorms then developed during the afternoon of April 3rd with isolated severe wind damage.",40222
558835,JEFFERSON CO.,ST MATTHEWS,2015-04-02,1445,Hail,1.75, , ,Amateur Radio, , ,NW,NW,ST MATTHEWS,1455,38.26,-85.64,38.26,-85.64,Golf ball size hail was reported by an amateur radio operator.,"A stalled frontal boundary across the area brought several rounds of showers and thunderstorms to the lower Ohio Valley April 2nd and 3rd. Scattered thunderstorms developed during the afternoon and early evening hours April 2nd, resulting in large hail and damaging winds. Later that evening and into the early morning hours of April 3rd, training thunderstorms resulted in flash flooding across portions of northern Kentucky, greatly impacting the I-64 corridor including the Louisville and Lexington metros. Between 6 and 8 inches of rain fell in the 2 day period and April 3rd ended up being Louisville's 4th wettest day on record. The event garnered national media attention as over 160 water rescues occurred in Louisville alone and several roads were washed out across northern Kentucky. Additional showers and thunderstorms then developed during the afternoon of April 3rd with isolated severe wind damage.",40207
558837,JEFFERSON CO.,GRAYMOOR,2015-04-02,1447,Hail,1.25, , ,NWS Employee, , ,N,N,GRAYMOOR,1455,38.28,-85.58,38.28,-85.58,An off-duty NWS employee reported half dollar size hail.,"A stalled frontal boundary across the area brought several rounds of showers and thunderstorms to the lower Ohio Valley April 2nd and 3rd. Scattered thunderstorms developed during the afternoon and early evening hours April 2nd, resulting in large hail and damaging winds. Later that evening and into the early morning hours of April 3rd, training thunderstorms resulted in flash flooding across portions of northern Kentucky, greatly impacting the I-64 corridor including the Louisville and Lexington metros. Between 6 and 8 inches of rain fell in the 2 day period and April 3rd ended up being Louisville's 4th wettest day on record. The event garnered national media attention as over 160 water rescues occurred in Louisville alone and several roads were washed out across northern Kentucky. Additional showers and thunderstorms then developed during the afternoon of April 3rd with isolated severe wind damage.",40242
563860,JEFFERSON CO.,(LOU)BOWMAN FLD LOUI,2015-04-08,1752,Hail,0.75, , ,Public, , ,E,E,(LOU)BOWMAN FLD LOUI,1752,38.23,-85.66,38.23,-85.66,The public reported dime size hail fell at Bowman Field in Louisville.,"Another subtle weather disturbance pushed through the Ohio Valley on the afternoon and evening of April 8th. This disturbance interacted with a very moist and unstable airmass, characterized by temperatures in the upper 70s and 80s. Supercell thunderstorms developed across parts of the area, dropping hail up to 2 inches in diameter.",40041
564747,JEFFERSON CO.,FAIRDALE,2015-04-10,206,Thunderstorm Wind,52, ,EG,Broadcast Media, , ,NE,NE,FAIRDALE,206,38.11,-85.76,38.11,-85.76,Broadcast media relayed a report that large trees were uprooted around Fairdale.,A strong spring storm system approached the lower Ohio Valley on April 9th into the early morning hours April 10th. Isolated severe storms that produced damaging winds and hail developed during the afternoon hours before a long-lived line of severe storms approached late in the day into the early morning hours of April 10th.,40118
563881,JEFFERSON CO.,WINDY HILLS,2015-04-25,1844,Hail,0.75, , ,Public, , ,SE,SE,WINDY HILLS,1844,38.26,-85.59,38.26,-85.59,"Public report of penny size hail in northeast Louisville, near Lyndon.","An area of low pressure approached the Ohio Valley from the northwest on April 25th.  Ahead of it, a strong warm front sharpened across southern Indiana and central Kentucky.  South of the front, sunshine broke out and helped temperatures surge into the 80s, while north of the front temperatures were only in the 50s. At one point, there was a 40 degree temperature difference across the state of Kentucky from north to south!  This strong front helped to focus severe thunderstorm development in the late afternoon and evening hours.  Many of the storms that formed were supercells, which dropped very large hail. Two of these supercells developed weak tornadoes during the evening hours.",40242
563882,JEFFERSON CO.,JEFFERSONTOWN,2015-04-25,1846,Hail,1, , ,NWS Employee, , ,N,N,JEFFERSONTOWN,1846,38.21,-85.57,38.21,-85.57,An off-duty NWS employee reported quarter size hail near Jeffersontown.,"An area of low pressure approached the Ohio Valley from the northwest on April 25th.  Ahead of it, a strong warm front sharpened across southern Indiana and central Kentucky.  South of the front, sunshine broke out and helped temperatures surge into the 80s, while north of the front temperatures were only in the 50s. At one point, there was a 40 degree temperature difference across the state of Kentucky from north to south!  This strong front helped to focus severe thunderstorm development in the late afternoon and evening hours.  Many of the storms that formed were supercells, which dropped very large hail. Two of these supercells developed weak tornadoes during the evening hours.",40299
