STATION,NAME,BEGIN_LAT,BEGIN_LON,ELEVATION,DATE,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,Zip
USW00013810,"LOUISVILLE BOWMAN FIELD, KY US",38.23021,-85.66294,164.6,2015-01-01,8.05,0.0,0.0,0.0,40.0,22.0,230.0,250.0,19.9,23.9,40041
USC00154955,"LOUISVILLE MCALPINE, KY US",38.2778,-85.7918,134.1,2015-01-01,0.0,0.0,0.0,0.0,28.0,20.0,0.0,0.0,0.0,0.0,40212
USC00150630,"BERNHEIM FOREST, KY US",37.9161,-85.6572,167.6,2015-01-01,0.0,0.02,0.0,0.0,41.0,16.0,0.0,0.0,0.0,0.0,40110
USC00154958,"LOUISVILLE WEATHER FORECAST OFFICE, KY US",38.1151,-85.6445,192.6,2015-01-01,0.0,0.0,0.0,0.0,40.0,19.0,0.0,0.0,0.0,0.0,40229
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",38.17738,-85.73077,146.3,2015-01-01,9.17,0.0,0.0,0.0,41.0,23.0,230.0,240.0,21.0,25.1,40209
USW00013810,"LOUISVILLE BOWMAN FIELD, KY US",38.23021,-85.66294,164.6,2015-01-02,2.46,0.01,0.0,0.0,38.0,35.0,230.0,220.0,12.1,15.0,40041
USC00154955,"LOUISVILLE MCALPINE, KY US",38.2778,-85.7918,134.1,2015-01-02,0.0,0.0,0.0,0.0,45.0,23.0,0.0,0.0,0.0,0.0,40212
USC00150630,"BERNHEIM FOREST, KY US",37.9161,-85.6572,167.6,2015-01-02,0.0,0.7,0.0,0.0,61.0,16.0,0.0,0.0,0.0,0.0,40110
USC00154958,"LOUISVILLE WEATHER FORECAST OFFICE, KY US",38.1151,-85.6445,192.6,2015-01-02,0.0,0.02,0.0,0.0,37.0,33.0,0.0,0.0,0.0,0.0,40229
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",38.17738,-85.73077,146.3,2015-01-02,4.92,0.01,0.0,0.0,39.0,35.0,220.0,210.0,12.1,16.1,40209
USW00013810,"LOUISVILLE BOWMAN FIELD, KY US",38.23021,-85.66294,164.6,2015-01-03,8.05,0.27,0.0,0.0,62.0,38.0,180.0,180.0,21.9,34.0,40041
USC00154955,"LOUISVILLE MCALPINE, KY US",38.2778,-85.7918,134.1,2015-01-03,0.0,0.08,0.0,0.0,38.0,23.0,0.0,0.0,0.0,0.0,40212
USC00150630,"BERNHEIM FOREST, KY US",37.9161,-85.6572,167.6,2015-01-03,0.0,0.27,0.0,0.0,61.0,39.0,0.0,0.0,0.0,0.0,40110
USC00154958,"LOUISVILLE WEATHER FORECAST OFFICE, KY US",38.1151,-85.6445,192.6,2015-01-03,0.0,0.32,0.0,0.0,61.0,37.0,0.0,0.0,0.0,0.0,40229
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",38.17738,-85.73077,146.3,2015-01-03,9.62,0.29,0.0,0.0,63.0,38.0,180.0,190.0,28.0,42.1,40209
USW00013810,"LOUISVILLE BOWMAN FIELD, KY US",38.23021,-85.66294,164.6,2015-01-04,14.99,0.09,0.0,0.0,61.0,24.0,260.0,300.0,23.9,31.1,40041
USC00154955,"LOUISVILLE MCALPINE, KY US",38.2778,-85.7918,134.1,2015-01-04,0.0,0.1,0.0,0.0,60.0,38.0,0.0,0.0,0.0,0.0,40212
USC00150630,"BERNHEIM FOREST, KY US",37.9161,-85.6572,167.6,2015-01-04,0.0,0.0,0.0,0.0,61.0,39.0,0.0,0.0,0.0,0.0,40110
USC00154958,"LOUISVILLE WEATHER FORECAST OFFICE, KY US",38.1151,-85.6445,192.6,2015-01-04,0.0,0.03,0.0,0.0,59.0,23.0,0.0,0.0,0.0,0.0,40229
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",38.17738,-85.73077,146.3,2015-01-04,17.45,0.08,0.0,0.0,62.0,24.0,250.0,240.0,28.0,36.9,40209
USW00013810,"LOUISVILLE BOWMAN FIELD, KY US",38.23021,-85.66294,164.6,2015-01-05,7.38,0.0,0.0,0.0,25.0,16.0,280.0,280.0,18.1,25.1,40041
USC00154955,"LOUISVILLE MCALPINE, KY US",38.2778,-85.7918,134.1,2015-01-05,0.0,0.0,0.0,0.0,38.0,17.0,0.0,0.0,0.0,0.0,40212
USC00150630,"BERNHEIM FOREST, KY US",37.9161,-85.6572,167.6,2015-01-05,0.0,0.0,0.0,0.0,39.0,15.0,0.0,0.0,0.0,0.0,40110
