EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
873856,JEFFERSON CO.,ST MATTHEWS,1/11/2020,1050,Thunderstorm Wind,50, ,0,0,0,0,KY,EST-5,EG,144767,C,111,LMK,0,0,Emergency Manager, , , ,1,W,1,W,ST MATTHEWS,1/11/2020,1050,38.25,-85.65,38.25,-85.65,A tree fell and trapped two people in St. Matthews.,"A cold front stretching from northern Indiana south along the Mississippi River Valley moved east through southern Indiana and central Kentucky. This powerful storm system brought widespread and locally heavy rain to the area along with damaging gradient and thunderstorm winds throughout the day. High temperatures dropped 20 degrees from January 11 to 12.  Widespread 40-60 MPH winds occurred across the region in and out of storms, and through several waves during the day. This resulted in damaged property, tree damage, and injuries.  At one point on Saturday afternoon, there were more than 43,000 power outages across the region.",1
883289,JEFFERSON CO.,VAVERLY HILLS,3/28/2020,2203,Thunderstorm Wind,50, ,0,0,0,0,KY,EST-5,EG,146937,C,111,LMK,0,0,Law Enforcement, , , ,1,N,1,N,VAVERLY HILLS,3/28/2020,2203,38.1466,-85.8235,38.1466,-85.8235,Trees were blown down on Arnoldtown Road at Locklee Road.,"Like much of the severe weather in March, the 28th saw the same conditions with the Ohio Valley ahead of an upper trough with an embedded low system. During the day, warm moist air advanced north ahead of a later cold front. This set up provided the atmosphere with the energy to produce lightning and severe winds that caused damage throughout central Kentucky. There were a couple of reports of lightning striking buildings and trees with this system, but the details of damage are unknown.",2
883286,JEFFERSON CO.,WINDY HILLS,3/28/2020,2224,Lightning, , ,0,0,10000,0,KY,EST-5, ,146937,C,111,LMK,0,0,Law Enforcement, , , ,1,SW,1,SW,WINDY HILLS,3/28/2020,2224,38.26,-85.61,38.26,-85.61,A house was struck by lightning. The extent of damage is unknown.,"Like much of the severe weather in March, the 28th saw the same conditions with the Ohio Valley ahead of an upper trough with an embedded low system. During the day, warm moist air advanced north ahead of a later cold front. This set up provided the atmosphere with the energy to produce lightning and severe winds that caused damage throughout central Kentucky. There were a couple of reports of lightning striking buildings and trees with this system, but the details of damage are unknown.",3
883290,OLDHAM CO.,SKYLIGHT,3/28/2020,2230,Thunderstorm Wind,50, ,0,0,0,0,KY,EST-5,EG,146937,C,185,LMK,0,0,Emergency Manager, , , ,1,SW,1,SW,SKYLIGHT,3/28/2020,2230,38.42,-85.54,38.42,-85.54,Part of a tree was blown down blocking Highway 42.,"Like much of the severe weather in March, the 28th saw the same conditions with the Ohio Valley ahead of an upper trough with an embedded low system. During the day, warm moist air advanced north ahead of a later cold front. This set up provided the atmosphere with the energy to produce lightning and severe winds that caused damage throughout central Kentucky. There were a couple of reports of lightning striking buildings and trees with this system, but the details of damage are unknown.",4
889020,OLDHAM CO.,HARMONY VLG,4/8/2020,2132,Thunderstorm Wind,78, ,0,0,0,0,KY,EST-5,EG,147687,C,185,LMK,0,0,NWS Storm Survey, , , ,2,NNE,1,W,LA GRANGE,4/8/2020,2148,38.4226,-85.6096,38.4022,-85.4044,"An NWS Storm Survey confirmed straight line winds ranging from 70 mph to 90 mph wind damage across portions of Oldham County, KY stretching from near Goshen to La Grange. Multiple trees were downed, along with roof damage to many homes and a large outbuilding at the Oldham County Fairgrounds .","A strong storm system moved from the Midwest into the lower Ohio Valley on April 8, 2020. Isolated storms developed ahead of a sinking cold front during the afternoon across portions of southern Indiana and central Kentucky. These storms dropped large hail and produced damaging winds. Later that evening, a line of severe thunderstorms moved in from the northwest and produced widespread damaging winds and small hail. An EF-1 tornado spun up along the front edge of the line of severe storms and tracked for several miles across Nelson County. Storms pushed east of the region during the early morning hours of April 9, 2020.",5
898070,OLDHAM CO.,LA GRANGE,5/23/2020,2215,Thunderstorm Wind,51, ,0,0,0,0,KY,EST-5,EG,149013,C,185,LMK,0,0,COOP Observer, , , ,6,NNE,6,NNE,LA GRANGE,5/23/2020,2215,38.48,-85.33,38.48,-85.33,There was a report of power lines down just southwest of Sulpher.,"May 23, warmer temperatures surged into central Kentucky and southern Indiana behind a northward moving warm front. The surge of warm moist air resulted in scattered thunderstorms producing wind damage that occurred for three days from Logan County to the Bluegrass region of Kentucky.  Besides mostly tree damage, there were reports of severe hail and isolated flooding.",6
906634,BULLITT CO.,GOSPEL CAMPGROUND,6/21/2020,1045,Thunderstorm Wind,50, ,0,0,0,0,KY,EST-5,EG,150409,C,29,LMK,0,0,911 Call Center, , , ,1,NE,1,NE,GOSPEL CAMPGROUND,6/21/2020,1045,38.007,-85.767,38.007,-85.767,A tree was down across Wilderness Way.,"Ahead of an upper trough, warm moist air stretched towards northeastern Indiana between a surface low and high near the Lower Ohio Valley. As the atmosphere became more unstable with diurnal heating, thunderstorms developed, and the outflow from one blew down a tree.",7
906610,JEFFERSON CO.,HARRODS CREEK,6/29/2020,1922,Thunderstorm Wind,53, ,0,0,0,0,KY,EST-5,EG,147970,C,111,LMK,0,0,911 Call Center, , , ,1,ESE,1,ESE,HARRODS CREEK,6/29/2020,1922,38.32,-85.61,38.32,-85.61,There were trees reported down in the 7100 block of River Road and near the intersection of the Snyder and Interstate 71.,"During a time without any major weather systems moving through the region, a moist atmosphere with differential heating and remaining outflows from earlier thunderstorms was enough for thunderstorms and heavy rain to develop across central Kentucky. This resulted in widespread wind damage, flooding, and even fires from lightning. An elderly man drowned and his wife was injured trying to drive through flood waters.",8
906612,JEFFERSON CO.,HOPEWELL,6/29/2020,1926,Thunderstorm Wind,50, ,0,0,0,0,KY,EST-5,EG,147970,C,111,LMK,0,0,911 Call Center, , , ,1,NNW,1,NNW,HOPEWELL,6/29/2020,1926,38.1776,-85.5027,38.1776,-85.5027,There was a tree down on Potts Road.,"During a time without any major weather systems moving through the region, a moist atmosphere with differential heating and remaining outflows from earlier thunderstorms was enough for thunderstorms and heavy rain to develop across central Kentucky. This resulted in widespread wind damage, flooding, and even fires from lightning. An elderly man drowned and his wife was injured trying to drive through flood waters.",9
913369,JEFFERSON CO.,HIGHLANDS,7/6/2020,1710,Thunderstorm Wind,50, ,0,0,0,0,KY,EST-5,EG,150413,C,111,LMK,0,0,Broadcast Media, , , ,1,W,1,W,HIGHLANDS,7/6/2020,1710,38.23,-85.7,38.23,-85.7,A tree was reported down on the 1900 block of Deer Park.,"With zonal flow over the country and high temperatures in the 90s, multiple weak surface fronts help to produce afternoon and evening storms during diurnal heating. These storms produced strong winds, hail, and heavy rainfall that resulted in wind damage and flash flooding across the region.",10
