STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,Zip
USW00013810,"LOUISVILLE BOWMAN FIELD, KY US",38.23,-85.66,164.6,1/1/2015,8.05,0.0,0.0,0.0,40.0,22.0,230.0,250.0,19.9,23.9,40041
USC00154955,"LOUISVILLE MCALPINE, KY US",38.28,-85.79,134.1,1/1/2015,0.0,0.0,0.0,0.0,28.0,20.0,0.0,0.0,0.0,0.0,40212
USC00150630,"BERNHEIM FOREST, KY US",37.92,-85.66,167.6,1/1/2015,0.0,0.02,0.0,0.0,41.0,16.0,0.0,0.0,0.0,0.0,40110
USC00154958,"LOUISVILLE WEATHER FORECAST OFFICE, KY US",38.12,-85.64,192.6,1/1/2015,0.0,0.0,0.0,0.0,40.0,19.0,0.0,0.0,0.0,0.0,40228
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",38.18,-85.73,146.3,1/1/2015,9.17,0.0,0.0,0.0,41.0,23.0,230.0,240.0,21.0,25.1,40209
USW00013810,"LOUISVILLE BOWMAN FIELD, KY US",38.23,-85.66,164.6,1/2/2015,2.46,0.01,0.0,0.0,38.0,35.0,230.0,220.0,12.1,15.0,40041
USC00154955,"LOUISVILLE MCALPINE, KY US",38.28,-85.79,134.1,1/2/2015,0.0,0.0,0.0,0.0,45.0,23.0,0.0,0.0,0.0,0.0,40212
USC00150630,"BERNHEIM FOREST, KY US",37.92,-85.66,167.6,1/2/2015,0.0,0.7,0.0,0.0,61.0,16.0,0.0,0.0,0.0,0.0,40110
USC00154958,"LOUISVILLE WEATHER FORECAST OFFICE, KY US",38.12,-85.64,192.6,1/2/2015,0.0,0.02,0.0,0.0,37.0,33.0,0.0,0.0,0.0,0.0,40228
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",38.18,-85.73,146.3,1/2/2015,4.92,0.01,0.0,0.0,39.0,35.0,220.0,210.0,12.1,16.1,40209
USW00013810,"LOUISVILLE BOWMAN FIELD, KY US",38.23,-85.66,164.6,1/3/2015,8.05,0.27,0.0,0.0,62.0,38.0,180.0,180.0,21.9,34.0,40041
USC00154955,"LOUISVILLE MCALPINE, KY US",38.28,-85.79,134.1,1/3/2015,0.0,0.08,0.0,0.0,38.0,23.0,0.0,0.0,0.0,0.0,40212
USC00150630,"BERNHEIM FOREST, KY US",37.92,-85.66,167.6,1/3/2015,0.0,0.27,0.0,0.0,61.0,39.0,0.0,0.0,0.0,0.0,40110
USC00154958,"LOUISVILLE WEATHER FORECAST OFFICE, KY US",38.12,-85.64,192.6,1/3/2015,0.0,0.32,0.0,0.0,61.0,37.0,0.0,0.0,0.0,0.0,40228
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",38.18,-85.73,146.3,1/3/2015,9.62,0.29,0.0,0.0,63.0,38.0,180.0,190.0,28.0,42.1,40209
USW00013810,"LOUISVILLE BOWMAN FIELD, KY US",38.23,-85.66,164.6,1/4/2015,14.99,0.09,0.0,0.0,61.0,24.0,260.0,300.0,23.9,31.1,40041
